Title,Note,URL,Tags,Comment
,,,,
56 Bogart St,,https://www.google.com/maps/place/56+Bogart+St/data=!4m2!3m1!1s0x89c25c00fe4119ad:0x80bfea2c85bf1071,,
Tabaré Bushwick,,https://www.google.com/maps/place/Tabar%C3%A9+Bushwick/data=!4m2!3m1!1s0x89c25d44cc8e45f3:0x196703290192315e,,
Klom Klorm,,https://www.google.com/maps/place/Klom+Klorm/data=!4m2!3m1!1s0x89c25d6d41e21593:0x94c6ae1d6f2e1176,,
The Active Space,,https://www.google.com/maps/place/The+Active+Space/data=!4m2!3m1!1s0x89c25ea8402c70bf:0x5a989c05144a5474,,
Brooklyn Brush Studios,,https://www.google.com/maps/place/Brooklyn+Brush+Studios/data=!4m2!3m1!1s0x89c25ea8030cba1f:0xe42263c9b41eb7ff,,
WORTHLESSSTUDIOS,,https://www.google.com/maps/place/WORTHLESSSTUDIOS/data=!4m2!3m1!1s0x89c25d3468585fef:0x823960b90bbc1e7e,,
The Bushwick Collective,,https://www.google.com/maps/place/The+Bushwick+Collective/data=!4m2!3m1!1s0x89c25f8a658ad267:0xea3dfc8a4484947d,,
Moonzescope,,https://www.google.com/maps/place/Moonzescope/data=!4m2!3m1!1s0x89c2595ebc6f5f2d:0x4fa08e86c64e7d6f,,
Eli Klein Gallery,,https://www.google.com/maps/place/Eli+Klein+Gallery/data=!4m2!3m1!1s0x89c2598e75fce01f:0x599ea1d809ebd78b,,
Zürcher Gallery,,https://www.google.com/maps/place/Z%C3%BCrcher+Gallery/data=!4m2!3m1!1s0x89c2598569e3ccd7:0x30d6706ec6b3b8c,,
Hall des Lumières,,https://www.google.com/maps/place/Hall+des+Lumi%C3%A8res/data=!4m2!3m1!1s0x89c25bc6f59bb035:0xd3737b4399aaac7f,,
TF Chen Cultural Center,,https://www.google.com/maps/place/TF+Chen+Cultural+Center/data=!4m2!3m1!1s0x89c2598f2fa35d93:0xf18bd4d16f0b89a8,,
EDEN (Eden Gallery) - SoHo,,https://www.google.com/maps/place/EDEN+(Eden+Gallery)+-+SoHo/data=!4m2!3m1!1s0x89c2598bf0b2abfb:0x1b3d2bffdb898257,,
EDEN,,https://www.google.com/maps/place/EDEN/data=!4m2!3m1!1s0x89c259dd7a4a8c93:0x7c2b3dc079b739b4,,
Ronald Feldman Gallery,,https://www.google.com/maps/place/Ronald+Feldman+Gallery/data=!4m2!3m1!1s0x89c2598bc959625d:0x9164352bc5305938,,
Eric Firestone Gallery,,https://www.google.com/maps/place/Eric+Firestone+Gallery/data=!4m2!3m1!1s0x89c2599abb1f6e61:0xc572f82c6f4568f7,,
RAINRAIN,,https://www.google.com/maps/place/RAINRAIN/data=!4m2!3m1!1s0x89c25973072b6709:0x7982b2c3116b5898,,
Jeffrey Deitch,,https://www.google.com/maps/place/Jeffrey+Deitch/data=!4m2!3m1!1s0x89c2598baf3f6075:0x882ac0d144e4013e,,
Jack Shainman Gallery,,https://www.google.com/maps/place/Jack+Shainman+Gallery/data=!4m2!3m1!1s0x89c25b15c51b10ad:0x354f0281ff9f259f,,
Jack Shainman Gallery,,https://www.google.com/maps/place/Jack+Shainman+Gallery/data=!4m2!3m1!1s0x89c25b533ca64e5b:0xcc81728001a54507,,
Soho Live,,https://www.google.com/maps/place/Soho+Live/data=!4m2!3m1!1s0x89c25b005b3376ab:0x630b84cc1ec2c1be,,
The Museum of Interesting Things Secret Speakeasy,,https://www.google.com/maps/place/The+Museum+of+Interesting+Things+Secret+Speakeasy/data=!4m2!3m1!1s0x89c2598dc65e8999:0x83212ff1ee29d1d5,,
SoHo Cast Iron Historic District,,https://www.google.com/maps/place/SoHo+Cast+Iron+Historic+District/data=!4m2!3m1!1s0x89c25922bc0f9667:0x113b25485bd1acc2,,
The Museum of Interesting Things,,https://www.google.com/maps/place/The+Museum+of+Interesting+Things/data=!4m2!3m1!1s0x89c2599a6bbb0f39:0x390b6a03096e017b,,
Lafayette 148 New York | Greene Street,,https://www.google.com/maps/place/Lafayette+148+New+York+%7C+Greene+Street/data=!4m2!3m1!1s0x89c25972d49f9ed3:0x2b85c9e5c2e53795,,
Lafayette 148 New York | Brooklyn Navy Yard Outlet Store,,https://www.google.com/maps/place/Lafayette+148+New+York+%7C+Brooklyn+Navy+Yard+Outlet+Store/data=!4m2!3m1!1s0x89c25b57d095a5f1:0xe38b9a2ae8efb31e,,
Lafayette 148 New York | Madison Avenue New York,,https://www.google.com/maps/place/Lafayette+148+New+York+%7C+Madison+Avenue+New+York/data=!4m2!3m1!1s0x89c25913954f2983:0x8b5b4ee87a55e395,,
Kith Manhattan,,https://www.google.com/maps/place/Kith+Manhattan/data=!4m2!3m1!1s0x89c2598ff040cb61:0x3dbdf07ffd24d337,,
161 Lafayette,,https://www.google.com/maps/place/161+Lafayette/data=!4m2!3m1!1s0x89c25971e3eb18d5:0x75aaa2712b102813,,
161 Lafayette St,,https://www.google.com/maps/place/161+Lafayette+St/data=!4m2!3m1!1s0x89c25989a2949c8f:0x7706e6d5eedd44db,,
Jack's Wife Freda,,https://www.google.com/maps/place/Jack's+Wife+Freda/data=!4m2!3m1!1s0x89c2593cea7360c9:0x604ef6b70d1e3541,,
Jack's Wife Freda,,https://www.google.com/maps/place/Jack's+Wife+Freda/data=!4m2!3m1!1s0x89c259c03f456ccb:0x566b7c36e855e90b,,
Jack's Wife Freda,,https://www.google.com/maps/place/Jack's+Wife+Freda/data=!4m2!3m1!1s0x89c25988d7b58803:0x1dd33c62aeb2a76a,,
Jack's Wife Freda,,https://www.google.com/maps/place/Jack's+Wife+Freda/data=!4m2!3m1!1s0x89c259925f68f9b7:0x7efd8eed66bc4266,,
Le Coucou,,https://www.google.com/maps/place/Le+Coucou/data=!4m2!3m1!1s0x89c25989f3630ecb:0xd048cf49523f429d,,
Lafayette Grand Café & Bakery,,https://www.google.com/maps/place/Lafayette+Grand+Caf%C3%A9+%26+Bakery/data=!4m2!3m1!1s0x89c2599ab7535b05:0xaf99878a75a0c0e3,,
Color Factory NYC,,https://www.google.com/maps/place/Color+Factory+NYC/data=!4m2!3m1!1s0x89c259d56681a999:0xfd6ccaa0f36c98ea,,
Boyar Gifts,,https://www.google.com/maps/place/Boyar+Gifts/data=!4m2!3m1!1s0x89c25921b60f22e5:0x4ae0bce648ceeeb6,,
Blue & Cream,,https://www.google.com/maps/place/Blue+%26+Cream/data=!4m2!3m1!1s0x89c259833c5db64b:0x190c917fa5f1050b,,
